County,FIPS,AQI Median,O3 AQI,PM2.5 AQI,Traffic pollution,Area burned
Alameda,06001,68.4782608696,84.7826086957,21.7391304348,8.69565217391,39.1304347826
Amador,06005,75.0,3.26086956522,98.9130434783,97.8260869565,23.9130434783
Butte,06007,38.0434782609,45.652173913,43.4782608696,58.6956521739,17.3913043478
Calaveras,06009,60.8695652174,21.7391304348,78.2608695652,100.0,21.7391304348
Colusa,06011,60.8695652174,86.9565217391,10.8695652174,93.4782608696,76.0869565217
Contra Costa,06013,55.4347826087,80.4347826087,15.2173913043,23.9130434783,26.0869565217
El Dorado,06017,55.4347826087,10.8695652174,95.652173913,78.2608695652,2.17391304348
Fresno,06019,9.78260869565,43.4782608696,47.8260869565,28.2608695652,63.0434782609
Humboldt,06023,84.7826086957,91.3043478261,8.69565217391,71.7391304348,41.3043478261
Imperial,06025,18.4782608696,93.4782608696,26.0869565217,67.3913043478,91.3043478261
Kern,06029,2.17391304348,47.8260869565,51.0869565217,50.0,91.3043478261
Kings,06031,15.2173913043,67.3913043478,65.2173913043,76.0869565217,78.2608695652
Lake,06033,84.7826086957,6.52173913043,93.4782608696,95.652173913,30.4347826087
Los Angeles,06037,13.0434782609,73.9130434783,23.9130434783,4.34782608696,91.3043478261
Madera,06039,18.4782608696,55.4347826087,45.652173913,86.9565217391,10.8695652174
Marin,06041,68.4782608696,100.0,2.17391304348,43.4782608696,91.3043478261
Mendocino,06045,84.7826086957,82.6086956522,13.0434782609,80.4347826087,6.52173913043
Merced,06047,23.9130434783,26.0869565217,71.7391304348,63.0434782609,69.5652173913
Monterey,06053,91.3043478261,23.9130434783,80.4347826087,41.3043478261,47.8260869565
Napa,06055,50.0,97.8260869565,4.34782608696,52.1739130435,4.34782608696
Nevada,06057,50.0,8.69565217391,91.3043478261,82.6086956522,32.6086956522
Orange,06059,26.0869565217,95.652173913,6.52173913043,6.52173913043,91.3043478261
Placer,06061,38.0434782609,34.7826086957,60.8695652174,56.5217391304,15.2173913043
Riverside,06065,4.34782608696,63.0434782609,76.0869565217,39.1304347826,58.6956521739
Sacramento,06067,42.3913043478,29.347826087,69.5652173913,15.2173913043,50.0
San Benito,06069,75.0,17.3913043478,84.7826086957,73.9130434783,73.9130434783
San Bernardino,06071,9.78260869565,58.6956521739,63.0434782609,30.4347826087,80.4347826087
San Diego,06073,21.7391304348,60.8695652174,51.0869565217,17.3913043478,34.7826086957
San Francisco,06075,98.9130434783,89.1304347826,28.2608695652,2.17391304348,91.3043478261
San Joaquin,06077,32.6086956522,51.0869565217,41.3043478261,21.7391304348,54.347826087
San Luis Obispo,06079,30.4347826087,76.0869565217,19.5652173913,60.8695652174,65.2173913043
San Mateo,06081,98.9130434783,71.7391304348,32.6086956522,13.0434782609,71.7391304348
Santa Barbara,06083,45.652173913,32.6086956522,73.9130434783,36.9565217391,91.3043478261
Santa Clara,06085,79.347826087,65.2173913043,36.9565217391,10.8695652174,36.9565217391
Santa Cruz,06087,95.652173913,36.9565217391,57.6086956522,26.0869565217,67.3913043478
Shasta,06089,68.4782608696,13.0434782609,89.1304347826,69.5652173913,8.69565217391
Siskiyou,06093,91.3043478261,15.2173913043,86.9565217391,91.3043478261,60.8695652174
Solano,06095,68.4782608696,78.2608695652,17.3913043478,47.8260869565,45.652173913
Sonoma,06097,91.3043478261,51.0869565217,39.1304347826,45.652173913,56.5217391304
Stanislaus,06099,28.2608695652,29.347826087,67.3913043478,32.6086956522,28.2608695652
Sutter,06101,42.3913043478,69.5652173913,30.4347826087,54.347826087,91.3043478261
Tehama,06103,60.8695652174,19.5652173913,82.6086956522,84.7826086957,43.4782608696
Tulare,06107,6.52173913043,55.4347826087,34.7826086957,65.2173913043,52.1739130435
Tuolumne,06109,50.0,3.26086956522,98.9130434783,89.1304347826,19.5652173913
Ventura,06111,34.7826086957,41.3043478261,54.347826087,19.5652173913,91.3043478261
Yolo,06113,79.347826087,39.1304347826,57.6086956522,34.7826086957,13.0434782609
