County,FIPS,Year,Age,Gender,Ethnicity,Rate real,Rate predict
Alameda,06001,2014,0-4,female,african,329.94,299.22
Alameda,06001,2014,0-4,male,african,596.67,618.33
Alameda,06001,2014,5-17,female,african,223.52,225.08
Alameda,06001,2014,5-17,male,african,304.49,254.44
Alameda,06001,2014,0-4,female,asian,39.63,39.2
Alameda,06001,2014,0-4,male,asian,74.65,116.84
Alameda,06001,2014,5-17,female,asian,17.94,37.34
Alameda,06001,2014,5-17,male,asian,31.88,61.16
Alameda,06001,2014,0-4,female,hispanic,94.97,39.2
Alameda,06001,2014,0-4,male,hispanic,196.55,116.84
Alameda,06001,2014,5-17,female,hispanic,70.25,37.34
Alameda,06001,2014,5-17,male,hispanic,101.44,61.16
Alameda,06001,2014,0-4,female,other,185.09,197.26
Alameda,06001,2014,0-4,male,other,422.13,371.86
Alameda,06001,2014,5-17,female,other,123.04,134.2
Alameda,06001,2014,5-17,male,other,170.9,181.34
Alameda,06001,2014,0-4,female,white,37.28,39.2
Alameda,06001,2014,0-4,male,white,67.38,116.84
Alameda,06001,2014,5-17,female,white,25.59,37.34
Alameda,06001,2014,5-17,male,white,39.69,61.16
Amador,06005,2014,5-17,female,white,107.87,104.31
Amador,06005,2014,5-17,male,white,87.21,110.67
Butte,06007,2014,5-17,male,african,479.26,372.28
Butte,06007,2014,0-4,male,hispanic,160.61,144.91
Butte,06007,2014,5-17,male,hispanic,49.15,54.74
Butte,06007,2014,0-4,female,white,70.65,70.07
Butte,06007,2014,0-4,male,white,133.26,144.91
Butte,06007,2014,5-17,female,white,63.68,61.21
Butte,06007,2014,5-17,male,white,58.95,54.74
Calaveras,06009,2014,0-4,male,white,194.03,211.39
Calaveras,06009,2014,5-17,female,white,83.13,75.69
Calaveras,06009,2014,5-17,male,white,86.79,85.56
Colusa,06011,2014,5-17,male,hispanic,72.76,76.78
Contra Costa,06013,2014,0-4,female,african,296.63,298.54
Contra Costa,06013,2014,0-4,male,african,553.77,511.68
Contra Costa,06013,2014,5-17,female,african,293.51,252.52
Contra Costa,06013,2014,5-17,male,african,306.93,256.19
